id,frontend_file,function_or_hook,trigger_type,http_method,api_path,request_body_or_query_summary,auth_required,role_required,backend_file,backend_handler,service_function,database_tables,external_services,response_shape,error_codes,cache_strategy,abort_or_cancel_support,idempotency_support,current_status,proof
API-001,frontend/src/pages/LandingPage.jsx,api.getTicker,COMPONENT_MOUNT,GET,/api/mandi/ticker,none,NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/ticker),mandiService.getTicker,none,none,"{status: 'success', trades: []}",none,IN_MEMORY_STATIC,NO,NO,CONDITIONALLY_REQUIRED,LandingPage.jsx:30 verified in live code
API-002,frontend/src/pages/LandingPage.jsx,api.getLiveRates,COMPONENT_MOUNT,GET,/api/mandi/live,"?commodity=all&district=all",NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/live),mandiService.getLiveRates,mandi_prices,data.gov.in Agmarknet API,"{status: 'success', records: []}",500,NODE_CACHE_180S,NO,NO,DUPLICATE,LandingPage.jsx:35 and LandingPage.jsx:56 fire simultaneously on mount
API-003,frontend/src/pages/LandingPage.jsx,api.calculateRealization,COMPONENT_MOUNT,POST,/api/realization/discover,"{crop: 'Soybean', quantityQtl: 50, farmerDistrict: 'Latur'}",NO,NONE,backend/src/routes/realizationRoutes.js,handleRealization,handleRealization,buyers,none,"{status: 'success', apmcRoute: {}, directRoute: {}}",400|500,NONE,NO,NO,PREMATURE,LandingPage.jsx:38 fires on mount before user interacts with calculator
API-004,frontend/src/pages/LandingPage.jsx,fetchRates,SEARCH_INPUT,GET,/api/mandi/live,"?commodity={crop}&district={district}",NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/live),mandiService.getLiveRates,mandi_prices,data.gov.in Agmarknet API,"{status: 'success', records: []}",500,NODE_CACHE_180S,NO,NO,REQUIRED,LandingPage.jsx:56 on dropdown change
API-005,frontend/src/pages/LandingPage.jsx,calculateNetRealization,BUTTON_CLICK,POST,/api/realization/discover,"{crop, quantityQtl, farmerDistrict}",NO,NONE,backend/src/routes/realizationRoutes.js,handleRealization,handleRealization,buyers,none,"{status: 'success', apmcRoute: {}, directRoute: {}}",400|500,NONE,NO,NO,REQUIRED,LandingPage.jsx:59 triggered by calculator change
API-006,frontend/src/components/LoginModal.jsx,api.sendOtp,BUTTON_CLICK,POST,/api/auth/send-otp,"{phone, role, language}",NO,NONE,backend/src/routes/authRoutes.js,router.post(/send-otp),otpStore.set,verification_cases,none,"{status: 'success', message, resend_cooldown_seconds, preview_code}",400|429|500,IN_MEMORY_30S_COOLDOWN,NO,NO,REQUIRED,LoginModal.jsx triggers on Get OTP click
API-007,frontend/src/components/LoginModal.jsx,api.login,FORM_SUBMIT,POST,/api/auth/login,"{phone, otp, role}",NO,NONE,backend/src/routes/authRoutes.js,router.post(/login),db.getUserByPhone,users|farmer_profiles|buyer_profiles|transporters|fpos,none,"{status: 'success', user: {}, token: string}",400|401|404|429|500,NONE,NO,NO,REQUIRED,LoginModal.jsx triggers on Login submit
API-008,frontend/src/components/RegisterModal.jsx,api.register,FORM_SUBMIT,POST,/api/auth/register,"{phone, role, name, district, ...profileFields}",NO,NONE,backend/src/routes/authRoutes.js,router.post(/register),db.createUser,users|farmer_profiles|buyer_profiles|transporters|fpos,none,"{status: 'success', user: {}, token: string}",400|500,NONE,NO,NO,REQUIRED,RegisterModal.jsx triggers on Register submit
API-009,frontend/src/pages/FarmerPortal.jsx,api.getFarmerProfile,COMPONENT_MOUNT,GET,/api/auth/farmer/profile/:id,:id path param,NO,FARMER,backend/src/routes/authRoutes.js,router.get(/farmer/profile/:id),db.getFarmerProfile,farmer_profiles|users,none,"{status: 'success', profile: {}}",404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:172 on mount
API-010,frontend/src/pages/FarmerPortal.jsx,loadMandiRates,COMPONENT_MOUNT,GET,/api/mandi/live,"?commodity=all&district=all",NO,FARMER,backend/src/routes/mandiRoutes.js,router.get(/live),mandiService.getLiveRates,mandi_prices,data.gov.in Agmarknet API,"{status: 'success', records: []}",500,NODE_CACHE_180S,NO,NO,DUPLICATE,FarmerPortal.jsx:181 and FarmerPortal.jsx:198 both fire on mount
API-011,frontend/src/pages/FarmerPortal.jsx,loadMandiHistory,COMPONENT_MOUNT,GET,/api/mandi/advisor,"?commodity=Soyabean&market=Latur&district=Latur",NO,FARMER,backend/src/routes/mandiRoutes.js,router.get(/advisor),mandiService.getAdvisorRecommendation,mandi_prices,none,"{status: 'success', recommendation, sma30, ...}",500,NONE,NO,NO,PREMATURE,FarmerPortal.jsx:182 & 202 fires on mount before Advisor tab is opened
API-012,frontend/src/pages/FarmerPortal.jsx,api.getLots,COMPONENT_MOUNT,GET,/api/lots,"?farmer_phone={phone}",NO,FARMER,backend/src/routes/marketRoutes.js,router.get(/lots),db.getLots,produce_lots,none,"{status: 'success', count: n, lots: []}",500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:223 loads farmer's own lots
API-013,frontend/src/pages/FarmerPortal.jsx,api.getOffers,COMPONENT_MOUNT,GET,/api/offers,none,NO,FARMER,backend/src/routes/marketRoutes.js,router.get(/offers),db.getOffers,offers,none,"{status: 'success', count: n, offers: []}",500,NONE,NO,NO,UNNECESSARY,FarmerPortal.jsx:231 calls unfiltered /offers on mount exposing all platform offers
API-014,frontend/src/pages/FarmerPortal.jsx,api.getDeals,COMPONENT_MOUNT,GET,/api/deals,none,NO,FARMER,backend/src/routes/marketRoutes.js,router.get(/deals),db.getDeals,deals,none,"{status: 'success', count: n, deals: []}",500,NONE,NO,NO,UNNECESSARY,FarmerPortal.jsx:232 calls unfiltered /deals on mount exposing all platform deals
